A1,A2,A3,A4
Brain - Cortex,-0.358595986505082,0,0
Brain - Cerebellum,0,-0.569887524056336,0
Brain - Hippocampus,0.335951768112115,0,0
Brain - Substantia nigra,0,0,0.707106781186547
Brain - Anterior cingulate cortex (BA24),-0.466614547038147,0,0
Brain - Frontal Cortex (BA9),-0.383736331680527,0,0
Brain - Cerebellar Hemisphere,0,-0.463975698694764,0
Brain - Caudate (basal ganglia),0,0.262848352437172,0
Brain - Nucleus accumbens (basal ganglia),0,0.601879267247126,0
Brain - Putamen (basal ganglia),0,0.169135603066802,0
Brain - Hypothalamus,0.357433016637064,0,0
Brain - Spinal cord (cervical c-1),0.515562080474579,0,0
Brain - Amygdala,0,0,-0.707106781186548
